EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00690001365611	TEN1
ENSFM00690001365612	TEN1
ENSFM00690001365613	TEN1
ENSFM00600000921729	RBM3
ENSFM00500000278247	RBM3
ENSFM00760001714931	TAF6
ENSFM00550000748655	TAF6
ENSFM00600000937361	TAF6
ENSFM00600000945287	TAF6
ENSFM00250000007645	RILP
ENSFM00600000922910	CCDC166
ENSFM00250000005866	CINP
ENSFM00250000020666	FAM231B
ENSFM00250000010788	RBM44
ENSFM00500000274729	ELSPBP1
ENSFM00700001401181	ELSPBP1
ENSFM00700001401182	ELSPBP1
ENSFM00250000002948	BRMS1L
ENSFM00630001064418	BRMS1L
ENSFM00400000131858	FRZB
ENSFM00250000001217	APBA2
ENSFM00500000271514	RASSF7
ENSFM00250000008292	BFAR
ENSFM00740001589519	TFPI
ENSFM00550000766757	TFPI
ENSFM00550000748677	TFPI
ENSFM00250000001708	VNN2
ENSFM00600000922390	SOHLH1
ENSFM00250000001272	NPAS2
ENSFM00250000001484	TLK1
ENSFM00570000851150	OSMR
ENSFM00580000906049	OSMR
ENSFM00580000910513	OSMR
ENSFM00250000003507	SCCPDH
ENSFM00740001589186	HERC1
ENSFM00650001149051	HERC1
ENSFM00650001149052	HERC1
ENSFM00650001149053	HERC1
ENSFM00500000270229	POC1A
ENSFM00620001019790	NPIPB4
ENSFM00570000851385	NPIPB4
ENSFM00600000944635	NPIPB4
ENSFM00620001020750	NPIPB4
ENSFM00620001020751	NPIPB4
ENSFM00690001364528	ASB16
ENSFM00670001235646	ASB16
ENSFM00730001521931	DSC2
ENSFM00670001236599	CCK
ENSFM00500000272891	TAPBPL
ENSFM00670001235803	TRNAU1AP
ENSFM00750001632359	MYO19
ENSFM00250000004391	WDR81
ENSFM00250000000651	BRD2
ENSFM00740001589307	PRRC2A
ENSFM00250000001890	FOLR3
ENSFM00770001850832	FOLR3
ENSFM00620001014885	FOLR3
ENSFM00760001714672	AR
ENSFM00600000921306	KCNK1
ENSFM00500000271259	DTNBP1
ENSFM00580000906869	DTNBP1
ENSFM00580000910057	DTNBP1
ENSFM00760001714671	NCS1
ENSFM00500000274005	IBSP
ENSFM00730001521171	AKR1B10
ENSFM00280000060152	LDLRAD1
ENSFM00250000001834	USP34
ENSFM00550000749315	USP34
ENSFM00670001236245	DDTL
ENSFM00600000921183	HTR3E
ENSFM00250000001228	SNAP23
ENSFM00660001188848	SNAP23
ENSFM00660001188849	SNAP23
ENSFM00660001182143	SNAP23
ENSFM00560000771400	RIMBP3C
ENSFM00250000001242	PDZRN4
ENSFM00500000273356	CRADD
ENSFM00500000272085	ZBTB10
ENSFM00250000006515	UTP18
ENSFM00680001306751	UTP18
ENSFM00250000002758	ANGEL2
ENSFM00250000000002	ZNF786
ENSFM00670001236245	DDT
ENSFM00550000762332	DDT
ENSFM00360000109935	DLG5
ENSFM00800002004031	NUDT16L1
ENSFM00740001589070	SCN10A
ENSFM00260000051677	ANKRD61
ENSFM00760001714593	ZFP37
ENSFM00500000273322	HOXC12
ENSFM00670001235962	IFI30
ENSFM00730001521468	CHRNB1
ENSFM00670001282300	CHRNB1
ENSFM00500000270908	PRUNE
ENSFM00500000279638	ARL14EPL
ENSFM00500000270643	HTR5A
ENSFM00250000002834	WDR35
ENSFM00730001522435	TRAPPC10
ENSFM00250000000393	PRAMEF2
ENSFM00250000007297	PARP4
ENSFM00740001589359	ZNF436
ENSFM00720001492050	MYO10
ENSFM00670001238071	TRBV7-6
ENSFM00250000003886	RPAP1
ENSFM00500000270422	RGPD2
ENSFM00250000002179	USP27X
ENSFM00600000921309	GOLGA8F
ENSFM00500000271084	MCTS1
ENSFM00250000001224	SH3RF1
ENSFM00580000906253	SH3RF1
ENSFM00670001235503	HSD17B1
ENSFM00600000921185	TAS2R7
ENSFM00730001521377	OR9A2
ENSFM00740001589085	COL4A2
ENSFM00760001762745	COL4A2
ENSFM00250000008592	NFKBIL1
ENSFM00250000000393	PRAMEF4
ENSFM00760001714626	PPP2R5D
ENSFM00560000793655	PPP2R5D
ENSFM00250000002191	MDGA2
ENSFM00380000124792	CERKL
ENSFM00670001235573	IGKV1-33
ENSFM00670001236468	MRPL41
ENSFM00500000271071	RRN3
ENSFM00250000000206	KRT79
ENSFM00630001072178	KRT79
ENSFM00250000008070	RPUSD3
ENSFM00550000752893	RPUSD3
ENSFM00550000749009	RPUSD3
ENSFM00570000851098	SIN3A
ENSFM00660001189193	SIN3A
ENSFM00260000051410	GNB1L
ENSFM00550000763483	GNB1L
ENSFM00250000007488	FAM161B
ENSFM00250000006949	FAM189A1
ENSFM00500000273605	HMX2
ENSFM00260000050707	MTF1
ENSFM00250000008539	MTERF1
ENSFM00550000767817	MTERF1
ENSFM00500000273560	PLLP
ENSFM00250000007308	STK19
ENSFM00640001117498	ZNF219
ENSFM00640001114709	ZNF219
ENSFM00740001589377	ZNF219
ENSFM00540000719347	TARM1
ENSFM00250000003510	PITRM1
ENSFM00550000763948	PITRM1
ENSFM00420000140625	PSMA3
ENSFM00640001117560	PSMA3
ENSFM00640001117561	PSMA3
ENSFM00640001117034	PSMA3
ENSFM00690001357717	LAMTOR5
ENSFM00670001236711	LAMTOR5
ENSFM00710001457841	LAMTOR5
ENSFM00250000008338	NCKAP5L
ENSFM00740001589176	MPO
ENSFM00680001326632	MPO
ENSFM00320000100112	GPR65
ENSFM00250000006111	DHRS1
ENSFM00730001521177	SRMS
ENSFM00600000921309	GOLGA8H
ENSFM00500000273479	PNMT
ENSFM00500000274510	LENG1
ENSFM00600000921185	TAS2R9
ENSFM00730001521105	HLA-DRB4
ENSFM00500000272000	SRRM2
ENSFM00670001282123	SRRM2
ENSFM00670001275857	SRRM2
ENSFM00500000271359	PM20D1
ENSFM00650001140033	LZTS2
ENSFM00600000921181	R3HDM1
ENSFM00550000770580	R3HDM1
ENSFM00550000763114	R3HDM1
ENSFM00500000274608	WBP2NL
ENSFM00550000769728	WBP2NL
ENSFM00600000921760	SMTNL1
ENSFM00730001521766	HS3ST6
ENSFM00260000051389	TNFRSF4
ENSFM00550000759795	SIRPD
ENSFM00670001237971	SIRPD
ENSFM00670001237951	TRBV5-6
ENSFM00500000270352	GPX5
ENSFM00500000296171	GPX5
ENSFM00250000001646	WDR20
ENSFM00640001120139	WDR20
ENSFM00650001145364	WDR20
ENSFM00650001145358	WDR20
ENSFM00250000001936	FAM3D
ENSFM00560000819355	FAM3D
ENSFM00250000004429	TRIM37
ENSFM00680001318356	TRIM37
ENSFM00680001314253	TRIM37
ENSFM00680001314254	TRIM37
ENSFM00560000771043	MROH1
ENSFM00440000237028	LRRC30
ENSFM00500000270420	NCL
ENSFM00250000000002	ZNF623
ENSFM00400000131771	DDX39A
ENSFM00250000005186	LCORL
ENSFM00580000907556	LCORL
ENSFM00670001235562	PRPF31
ENSFM00730001521212	PRSS1
ENSFM00770001848459	SMN1
ENSFM00250000003319	SMN1
ENSFM00600000942869	SMN1
ENSFM00770001848014	SMAGP
ENSFM00720001494549	SMAGP
ENSFM00720001501074	SMAGP
ENSFM00720001501671	SMAGP
ENSFM00740001589479	FBXO46
ENSFM00690001374477	FBXO46
ENSFM00250000008719	TFPT
ENSFM00500000273464	FAM131A
ENSFM00500000273911	CCDC126
ENSFM00250000001418	LRRC8A
ENSFM00360000109863	MAGEA10
ENSFM00680001326154	MAGEA10
ENSFM00680001326155	MAGEA10
ENSFM00250000001568	FAM13B
ENSFM00580000906581	FAM13B
ENSFM00580000909082	FAM13B
ENSFM00500000269751	CLDN17
ENSFM00670001235250	TRIM10
ENSFM00500000269650	IFNA4
ENSFM00250000002477	EXOC4
ENSFM00800002003883	PI15
ENSFM00250000000964	ESYT2
ENSFM00550000767288	NDUFB3
ENSFM00670001236700	NDUFB3
ENSFM00250000008548	WDR54
ENSFM00270000056443	KLHL14
ENSFM00500000269650	IFNA10
ENSFM00500000269751	CLDN8
ENSFM00250000005756	GGNBP2
ENSFM00260000050491	TRIM49C
ENSFM00500000272776	MRM1
ENSFM00670001244230	TRAV10
ENSFM00250000004630	EIF3M
ENSFM00610000964529	EIF3M
ENSFM00610000970705	EIF3M
ENSFM00610000964530	EIF3M
ENSFM00750001634082	C19orf84
ENSFM00690001370761	C19orf84
ENSFM00250000000921	TET3
ENSFM00250000008518	MRPS34
ENSFM00750001632367	ZKSCAN4
ENSFM00730001521468	CHRNG
ENSFM00500000270299	GSTT2
ENSFM00250000000130	LVRN
ENSFM00670001238311	CCDC167
ENSFM00440000236945	CDHR1
ENSFM00770001867558	CDHR1
ENSFM00770001863892	CDHR1
ENSFM00730001521514	TRPC3
ENSFM00250000002766	STAMBP
ENSFM00500000277300	DAND5
ENSFM00730001521062	HLA-G
ENSFM00500000418996	LY6G6C
ENSFM00580000902278	LY6G6C
ENSFM00800002003912	TMTC1
ENSFM00480000262828	LRRC14B
ENSFM00290000065638	MUC20
ENSFM00790001965903	MUC20
ENSFM00670001237257	COX16
ENSFM00640001120056	COX16
ENSFM00500000386035	LUZP4
ENSFM00500000281860	LUZP4
ENSFM00740001590037	ZNF865
ENSFM00790001977005	ZNF865
ENSFM00500000269981	REEP2
ENSFM00580000908120	REEP2
ENSFM00250000003564	NBR1
ENSFM00690001367187	NBR1
ENSFM00600000924782	GYPC
ENSFM00500000269650	IFNA7
ENSFM00730001521094	OR51A7
ENSFM00700001401303	ZNF682
ENSFM00250000000002	ZNF682
ENSFM00700001407488	ZNF682
ENSFM00700001404035	ZNF682
ENSFM00700001401707	ZNF682
ENSFM00700001401304	ZNF682
ENSFM00500000269650	IFNA14
ENSFM00600000922111	VCY1B
ENSFM00500000270464	TOB1
ENSFM00670001282258	IGLJ7
ENSFM00800002003390	ACSS1
ENSFM00500000271566	MAP3K1
ENSFM00500000288488	LY6K
ENSFM00650001141859	LY6K
ENSFM00650001141825	LY6K
ENSFM00600000942129	LY6K
ENSFM00660001183092	CT62
ENSFM00550000762345	CT62
ENSFM00740001609734	CT62
ENSFM00500000270016	IARS2
ENSFM00250000004019	TMEM55B
ENSFM00640001114128	TMEM55B
ENSFM00500000303081	LYRM5
ENSFM00640001119456	LYRM5
ENSFM00640001119457	LYRM5
ENSFM00640001119458	LYRM5
ENSFM00640001119459	LYRM5
ENSFM00500000269650	IFNA17
ENSFM00760001762704	TMEM185A
ENSFM00250000004149	TMEM185A
ENSFM00600000940414	TMEM185A
ENSFM00600000940415	TMEM185A
ENSFM00600000940413	TMEM185A
ENSFM00250000008895	COMMD3
ENSFM00710001459651	COMMD3
ENSFM00710001459652	COMMD3
ENSFM00250000006857	TMEM129
ENSFM00560000799697	TMEM129
ENSFM00560000799008	TMEM129
ENSFM00570000851049	NTN3
ENSFM00740001589220	OR4M2
ENSFM00390000126408	TMEM131
ENSFM00500000274094	OSCAR
ENSFM00320000100241	KBTBD6
ENSFM00250000000634	EIF4G3
ENSFM00600000921937	GPSM3
ENSFM00610000964218	GPSM3
ENSFM00500000353030	GPSM3
ENSFM00770001847551	OR9Q2
ENSFM00250000008301	INO80D
ENSFM00550000749474	INO80D
ENSFM00250000008537	C1orf74
ENSFM00250000001909	SESN2
ENSFM00250000001523	PTP4A3
ENSFM00250000003239	EIF3L
ENSFM00550000750090	EIF3L
ENSFM00620001002325	EIF3L
ENSFM00730001521962	CPT2
ENSFM00250000000285	C3
ENSFM00700001407416	C3
ENSFM00660001172599	SNX29
ENSFM00420000140629	SNX29
ENSFM00660001172593	SNX29
ENSFM00660001189772	LRRC36
ENSFM00250000008362	LRRC36
ENSFM00660001174451	LRRC36
ENSFM00680001319307	LRRC36
ENSFM00660001189774	LRRC36
ENSFM00660001174452	LRRC36
ENSFM00660001174453	LRRC36
ENSFM00730001521444	OR51F2
ENSFM00740001589264	APOBEC3D
ENSFM00600000921231	IRF6
ENSFM00250000005299	GTPBP6
ENSFM00800002003410	DMGDH
ENSFM00600000945061	DMGDH
ENSFM00740001589569	FAM83H
ENSFM00730001521784	SKIV2L
ENSFM00560000812378	SKIV2L
ENSFM00730001521466	F13A1
ENSFM00250000008003	RBFA
ENSFM00250000000002	ZNF565
ENSFM00690001368982	ZNF565
ENSFM00770001847530	DDX3X
ENSFM00550000743175	SORBS2
ENSFM00550000767115	SORBS2
ENSFM00550000759700	SORBS2
ENSFM00550000749768	SORBS2
ENSFM00550000761616	SORBS2
ENSFM00550000746145	SORBS2
ENSFM00770001848527	SORBS2
ENSFM00550000765083	SORBS2
ENSFM00550000755153	SORBS2
ENSFM00550000760674	SORBS2
ENSFM00550000755779	SORBS2
ENSFM00550000757467	SORBS2
ENSFM00550000769348	SORBS2
ENSFM00550000751414	SORBS2
ENSFM00500000270005	STON1-GTF2A1L
ENSFM00250000010730	APOM
ENSFM00730001521147	CHRNA4
ENSFM00670001235409	MRGPRX1
ENSFM00670001235918	RPL37
ENSFM00650001141291	RPL37
ENSFM00580000905308	RPL37
ENSFM00250000001480	JAKMIP2
ENSFM00250000003670	STARD3
ENSFM00680001317427	STARD3
ENSFM00730001521094	OR51H1
ENSFM00600000921269	LHX1
ENSFM00250000005325	MRPL45
ENSFM00420000140520	OR13C7
ENSFM00600000924704	PRH2
ENSFM00500000271930	TAMM41
ENSFM00550000770281	TAMM41
ENSFM00550000761131	TAMM41
ENSFM00740001589267	GALNTL5
ENSFM00670001235818	KLF13
ENSFM00250000001255	ZDHHC15
ENSFM00250000005361	ARL2BP
ENSFM00250000007641	CENPT
ENSFM00660001177159	CENPT
ENSFM00660001174473	CENPT
ENSFM00660001174474	CENPT
ENSFM00660001177161	CENPT
ENSFM00660001182518	CENPT
ENSFM00670001282208	CENPT
ENSFM00250000008837	MAMLD1
ENSFM00250000004664	KANSL1
ENSFM00500000271148	TGIF2
ENSFM00730001538838	TGIF2
ENSFM00730001543978	TGIF2
ENSFM00250000000738	STOML3
ENSFM00360000109997	EMILIN1
ENSFM00500000271086	IL6
ENSFM00250000006811	IL6R
ENSFM00550000759812	NDUFA3
ENSFM00250000002423	C2CD5
ENSFM00740001589199	DSP
ENSFM00670001235623	RPL24
ENSFM00670001236623	CCL4
ENSFM00760001749063	CCL4
ENSFM00730001522030	TBX6
ENSFM00600000921309	GOLGA8K
ENSFM00250000001459	RAPH1
ENSFM00730001521716	ARL5B
ENSFM00620001001354	GLI2
ENSFM00550000745054	GLI2
ENSFM00730001521642	GLI2
ENSFM00500000284141	GLI2
ENSFM00550000757821	GLI2
ENSFM00760001715122	MR1
ENSFM00300000079164	ZNF513
ENSFM00740001589249	GLB1L3
ENSFM00800002003394	TEN1-CDK3
ENSFM00250000000285	C5
ENSFM00670001235773	GREM1
ENSFM00500000274179	C1QTNF5
ENSFM00740001592700	ZNF19
ENSFM00250000000002	ZNF19
ENSFM00670001263599	ZNF19
ENSFM00660001181104	ZNF19
ENSFM00660001181105	ZNF19
ENSFM00660001189804	ZNF19
ENSFM00660001189805	ZNF19
ENSFM00480000262741	CHRNA7
ENSFM00500000292816	CISD3
ENSFM00500000272060	PDX1
ENSFM00730001522013	DHX35
ENSFM00670001282156	ATF7IP2
ENSFM00250000008053	ATF7IP2
ENSFM00660001181199	ATF7IP2
ENSFM00660001189640	ATF7IP2
ENSFM00660001181200	ATF7IP2
ENSFM00500000272300	C1orf123
ENSFM00440000237023	DUSP19
ENSFM00770001847525	OR8J1
ENSFM00760001714584	HLA-F
ENSFM00760001716656	HLA-F
ENSFM00250000000438	MYL6B
ENSFM00630001072204	MYL6B
ENSFM00250000006719	GTPBP8
ENSFM00250000000112	CAPN11
ENSFM00610000973616	CAPN11
ENSFM00670001247979	TRAV12-1
ENSFM00770001847525	OR8U1
ENSFM00250000004017	FRG1
ENSFM00610000973763	FRG1
ENSFM00680001315001	FRG1
ENSFM00500000270317	MPPED1
ENSFM00550000752884	MPPED1
ENSFM00500000273041	TNFRSF10D
ENSFM00250000001637	ZC3H14
ENSFM00640001112596	ZC3H14
ENSFM00640001112192	ZC3H14
ENSFM00640001112598	ZC3H14
ENSFM00290000065553	CARS
ENSFM00610000954890	CARS
ENSFM00730001521444	OR51T1
ENSFM00500000271585	ZDHHC1
ENSFM00250000009958	HYLS1
ENSFM00720001492013	GRIK2
ENSFM00250000002835	CALD1
ENSFM00550000750879	CALD1
ENSFM00550000770825	CALD1
ENSFM00500000274062	CLEC12A
ENSFM00250000001494	ELMO2
ENSFM00320000100185	NCAPG
ENSFM00730001521718	CASK
ENSFM00250000006072	PSMF1
ENSFM00790001965304	PSMF1
ENSFM00780001898406	HLA-DPB1
ENSFM00250000000722	ACOX1
ENSFM00670001282340	ACOX1
ENSFM00670001247578	EPS8L2
ENSFM00610000970313	EPS8L2
ENSFM00500000270023	EPS8L2
ENSFM00610000970314	EPS8L2
ENSFM00740001596291	EPS8L2
ENSFM00500000270272	THSD4
ENSFM00670001235983	IMMP2L
ENSFM00670001245314	IMMP2L
ENSFM00760001714959	MMP17
ENSFM00620001021001	MMP17
ENSFM00500000273130	OXGR1
ENSFM00620001020785	OXGR1
ENSFM00620001020786	OXGR1
ENSFM00500000272381	KIAA1456
ENSFM00690001372977	KIAA1456
ENSFM00690001358689	KIAA1456
ENSFM00800002003494	DGAT2
ENSFM00360000109870	HSPH1
ENSFM00250000008285	TMEM79
ENSFM00380000124991	TMEM79
ENSFM00260000050505	CRHR1
ENSFM00670001257741	CRHR1
ENSFM00250000000475	LDHC
ENSFM00620001002063	LDHC
ENSFM00620001021121	LDHC
ENSFM00670001235660	ISOC1
ENSFM00670001237577	IGLV7-46
ENSFM00790001962983	ADSSL1
ENSFM00720001498719	ADSSL1
ENSFM00640001117582	ADSSL1
ENSFM00640001117583	ADSSL1
ENSFM00730001521778	CTDSP1
ENSFM00500000276617	LCN15
ENSFM00250000007805	PRAM1
ENSFM00250000002334	FAM73B
ENSFM00550000748305	FAM73B
ENSFM00780001898335	PCDH17
ENSFM00250000002338	RAN
ENSFM00760001763524	RAN
ENSFM00250000007856	ZCRB1
ENSFM00460000244930	MAPK9
ENSFM00740001593268	MAPK9
ENSFM00550000753747	BTD
ENSFM00550000764447	BTD
ENSFM00250000001708	BTD
ENSFM00250000001474	MCOLN2
ENSFM00560000771054	SCARF1
ENSFM00400000131777	CABP5
ENSFM00480000262746	SEMA4F
ENSFM00550000765317	SEMA4F
ENSFM00550000757160	SEMA4F
ENSFM00250000001585	ARMCX2
ENSFM00550000751641	ARMCX2
ENSFM00660001157157	CASR
ENSFM00250000001705	HLA-DMB
ENSFM00500000272650	APOBEC1
ENSFM00360000110627	APOBEC1
ENSFM00500000408305	ATP5EP2
ENSFM00500000271823	BCL2
ENSFM00670001281528	IGKJ3
ENSFM00600000921186	ANP32B
ENSFM00670001246766	UCN2
ENSFM00740001589102	LILRA1
ENSFM00500000269634	BTN2A2
ENSFM00560000834008	BTN2A2
ENSFM00560000836035	BTN2A2
ENSFM00560000799463	BTN2A2
ENSFM00250000010038	LMNTD2
ENSFM00670001237514	ARL17A
ENSFM00740001589287	GCNT4
ENSFM00730001521153	ZNF709
ENSFM00740001589264	APOBEC3C
ENSFM00550000766751	APOBEC3C
ENSFM00400000131880	GABPA
ENSFM00500000270330	LRRC37B
ENSFM00780001898379	EXT1
ENSFM00550000765028	EXT1
ENSFM00670001235573	IGKV1-37
ENSFM00500000270859	ARHGAP20
ENSFM00730001521153	ZNF799
ENSFM00700001403611	ZNF799
ENSFM00750001632379	OR9G9
ENSFM00350000108608	ARRDC5
ENSFM00780001898364	RPS17
ENSFM00670001235701	SLA2
ENSFM00470000251495	MSR1
ENSFM00600000941885	MSR1
ENSFM00600000941884	MSR1
ENSFM00600000941886	MSR1
ENSFM00730001521356	A2M
ENSFM00620001020921	A2M
ENSFM00800002003544	MRTO4
ENSFM00250000006411	STK31
ENSFM00610000965064	STK31
ENSFM00740001589497	SPDYE4
ENSFM00680001319593	SPDYE4
ENSFM00500000273277	CTSO
ENSFM00440000236944	PSMD10
ENSFM00250000001225	GPSM2
ENSFM00550000753554	GPSM2
ENSFM00550000749872	GPSM2
ENSFM00760001714662	PGM5
ENSFM00670001239630	TRAV8-2
ENSFM00500000273519	PPP1R1B
ENSFM00250000002476	NAB2
ENSFM00250000002797	HMOX2
ENSFM00740001589124	TRIO
ENSFM00410000138519	ALDH6A1
ENSFM00670001235696	CNPY3
ENSFM00500000292803	OLFM1
ENSFM00320000100099	OLFM1
ENSFM00500000293692	OLFM1
ENSFM00500000271302	AGMAT
ENSFM00750001632364	DPP6
ENSFM00500000270486	MAFK
ENSFM00250000000278	SLC26A9
ENSFM00500000269650	IFNA16
ENSFM00250000005879	CXorf57
ENSFM00250000006202	C6orf25
ENSFM00350000105437	CCT6A
ENSFM00500000274711	NRARP
ENSFM00760001714593	ZNF782
ENSFM00560000802679	ZNF782
ENSFM00600000938220	CPA6
ENSFM00730001521433	CPA6
ENSFM00250000007441	BCDIN3D
ENSFM00250000002953	SNX17
ENSFM00550000763854	SNX17
ENSFM00550000754804	SNX17
ENSFM00250000019959	THAP10
ENSFM00650001141758	IFITM10
ENSFM00500000276928	IFITM10
ENSFM00730001521383	CHD4
ENSFM00270000056439	GSTA5
ENSFM00600000921301	TAF15
ENSFM00250000008691	TMEM176B
ENSFM00250000002414	SLC35F3
ENSFM00620000999504	CSN2
ENSFM00730001522396	MAPK15
ENSFM00500000289569	ASCL5
ENSFM00290000065628	TMEM236
ENSFM00800002003884	FDFT1
ENSFM00610000968110	FDFT1
ENSFM00610000968111	FDFT1
ENSFM00610000968112	FDFT1
ENSFM00250000004263	IRAK4
ENSFM00630001068084	IRAK4
ENSFM00630001068085	IRAK4
ENSFM00500000270210	TFR2
ENSFM00250000000700	MEF2D
ENSFM00740001613455	MEF2D
ENSFM00730001521338	EPHB6
ENSFM00640001103119	GCLM
ENSFM00250000007907	FAM199X
ENSFM00730001521203	OR8B3
ENSFM00570000851098	SIN3B
ENSFM00730001521203	OR8B4
ENSFM00250000001164	SPNS2
ENSFM00260000050333	CDH22
ENSFM00250000002956	TSC1
ENSFM00670001235428	IGLC7
ENSFM00250000000740	AZIN2
ENSFM00800002003432	CPNE2
ENSFM00660001189718	CPNE2
ENSFM00730001521131	DNAH7
ENSFM00550000750288	DNAH7
ENSFM00440000236960	ARHGEF17
ENSFM00250000007530	RPP38
ENSFM00740001589102	LILRB1
ENSFM00670001235573	IGKV1-39
ENSFM00760001714763	CAMKK1
ENSFM00500000271626	SFTPA2
ENSFM00550000764020	BCS1L
ENSFM00500000270206	BCS1L
ENSFM00780001898601	MRGPRD
ENSFM00250000002244	NXPH1
ENSFM00740001589586	ZBTB24
ENSFM00500000272805	KIAA1024
ENSFM00630001072207	CS
ENSFM00250000002339	CS
ENSFM00630001072208	CS
ENSFM00630001072209	CS
ENSFM00740001589281	COL9A1
ENSFM00250000002682	PUF60
ENSFM00640001112962	SFTA2
ENSFM00740001589284	CORO7
ENSFM00670001282148	CORO7
ENSFM00670001282152	CORO7
ENSFM00670001282151	CORO7
ENSFM00670001282150	CORO7
ENSFM00670001282147	CORO7
ENSFM00670001282149	CORO7
ENSFM00670001282146	CORO7
ENSFM00500000269784	TSPAN17
ENSFM00580000909214	TSPAN17
ENSFM00800002003886	NOX4
ENSFM00500000351339	NOX4
ENSFM00730001521633	KCNH7
ENSFM00730001521203	OR8B8
ENSFM00250000000002	ZNF146
ENSFM00250000001713	DENND5A
ENSFM00610000970056	DENND5A
ENSFM00610000968002	DENND5A
ENSFM00700001401326	ZNF415
ENSFM00250000000002	ZNF415
ENSFM00700001401327	ZNF415
ENSFM00700001398095	ZNF415
ENSFM00700001398363	ZNF415
ENSFM00700001401328	ZNF415
ENSFM00700001402923	ZNF415
ENSFM00700001407661	ZNF415
ENSFM00760001715175	UBALD2
ENSFM00690001364091	UBALD2
ENSFM00740001589134	KIR2DS5
ENSFM00250000006951	ZNF462
ENSFM00500000269939	CNN2
ENSFM00760001762933	CNN2
ENSFM00250000002392	PDXDC1
ENSFM00670001237592	C1orf189
ENSFM00800002003467	PMM2
ENSFM00660001182933	PMM2
ENSFM00660001182934	PMM2
ENSFM00660001182935	PMM2
ENSFM00660001182936	PMM2
ENSFM00660001182937	PMM2
ENSFM00500000271984	WBP1L
ENSFM00580000907717	NPNT
ENSFM00260000050629	NPNT
ENSFM00580000908612	NPNT
ENSFM00580000909837	NPNT
ENSFM00500000271232	SLC25A51
ENSFM00730001521203	OR8B12
ENSFM00360000109863	MAGEB3
ENSFM00670001237167	HIST1H1A
ENSFM00740001589720	TRAV8-3
ENSFM00500000269596	SERPINB6
ENSFM00360000109863	MAGEB4
ENSFM00250000008392	FOXR1
ENSFM00250000009140	C9orf142
ENSFM00500000272622	TNFSF15
ENSFM00360000109863	MAGEB1
ENSFM00250000007882	SH2D5
ENSFM00600000943494	SH2D5
ENSFM00760001714669	SLC25A3
ENSFM00630001070857	SLC25A3
ENSFM00670001236154	GOLGA6L9
ENSFM00500000272215	LARP6
ENSFM00690001366461	LARP6
ENSFM00500000292030	LARP6
ENSFM00650001146362	LARP6
ENSFM00740001589310	ZNF3
ENSFM00550000746806	ZNF3
ENSFM00250000002611	PCNA
ENSFM00630001069863	C12orf76
ENSFM00500000286456	C12orf76
ENSFM00630001069864	C12orf76
ENSFM00720001493715	C12orf76
ENSFM00630001069866	C12orf76
ENSFM00650001141520	C12orf76
ENSFM00250000002844	PDP2
ENSFM00680001307614	PDP2
ENSFM00500000275489	ZNF784
ENSFM00690001374498	ZNF784
ENSFM00250000006800	SCG5
ENSFM00390000126319	RAB7B
ENSFM00560000771895	LY6H
ENSFM00250000001773	FAM135A
ENSFM00580000905734	FAM135A
ENSFM00580000905735	FAM135A
ENSFM00250000008990	ZNF750
ENSFM00430000230089	AP1B1
ENSFM00670001282454	IGHD3-16
ENSFM00500000271916	NCR1
ENSFM00670001282441	IGHJ2
ENSFM00760001714681	PNPLA6
ENSFM00700001407421	PNPLA6
ENSFM00740001589370	STAB2
ENSFM00630001072276	STAB2
ENSFM00630001072277	STAB2
ENSFM00500000275734	VGLL1
ENSFM00550000747747	VGLL1
ENSFM00620001016515	TRMT10B
ENSFM00620001016516	TRMT10B
ENSFM00250000007892	TRMT10B
ENSFM00500000270278	TWF1
ENSFM00630001072120	TWF1
ENSFM00630001062127	TWF1
ENSFM00630001072121	TWF1
ENSFM00670001282447	IGHD4-23
ENSFM00250000006723	PAWR
ENSFM00630001063029	PAWR
ENSFM00630001067935	PAWR
ENSFM00630001067936	PAWR
ENSFM00500000270113	LMX1B
ENSFM00740001589201	WNT2B
ENSFM00500000280350	C9orf40
ENSFM00730001521381	CELF5
ENSFM00730001521094	OR51A4
ENSFM00730001521153	ZNF443
ENSFM00550000749464	ZNF443
ENSFM00690001370345	ST6GALNAC1
ENSFM00250000002806	ST6GALNAC1
ENSFM00690001370346	ST6GALNAC1
ENSFM00690001370347	ST6GALNAC1
ENSFM00250000008190	TMEM98
ENSFM00250000000608	ASIC4
ENSFM00580000910207	DNAH10OS
ENSFM00480000262754	ST8SIA5
ENSFM00690001374140	ST8SIA5
ENSFM00690001374141	ST8SIA5
ENSFM00670001239017	COX6A2
ENSFM00500000272626	TLCD1
ENSFM00690001368123	TLCD1
ENSFM00730001521915	CCBL1
ENSFM00500000294516	CCBL1
ENSFM00500000273590	CFD
ENSFM00740001589214	ERAP2
ENSFM00580000910572	ERAP2
ENSFM00580000908988	ERAP2
ENSFM00500000272712	SH2B3
ENSFM00250000002264	KCTD17
ENSFM00610000955216	KCTD17
ENSFM00270000056439	GSTA2
ENSFM00250000004517	NAGLU
ENSFM00690001363866	NAGLU
ENSFM00690001363867	NAGLU
ENSFM00670001282450	IGHD1-20
ENSFM00670001282452	IGHD5-18
ENSFM00500000271590	TMEM180
ENSFM00500000284983	TMEM180
ENSFM00250000007225	TCEANC2
ENSFM00500000311200	TCEANC2
